query,title,channel,views,likes,comments,published,duration,video_id
作業用BGM 熱い,【アニソン系BGM和風ロックPlaylist】曲げない生き方｜熱い和風ロック・女性ボーカル｜77分,和奏ロック堂 | Japanese Rock BGM,0,0,0,2026-07-21T09:00:17Z,PT1H17M4S,9muDF_OJEHU
作業用BGM 熱い,ヒロアカ風、熱い戦闘曲！【My Hero Academia style freeBGM】heroic2 battle4 / ヒロイック2バトル4【作業用BGM・素材】,【著作権フリーBGM】ぷるっと企画チャンネル,6,3,0,2026-07-21T07:00:04Z,PT3M8S,-0MS0V2tvec
作業用BGM 熱い,🔥 57分間の熱いアニメJ-Rock｜女性ボーカルによるオリジナルオープニングソング10曲 Vol.2 🔥,Ryusei Studio | 流星スタジオ,2,0,0,2026-07-20T13:15:07Z,PT57M8S,c_sLkRGXhwA
作業用BGM 熱い,【ポケモン風BGM】始まる熱いバトル音楽｜作業用・勉強用・ゲーム作業用,ポケモン風BGM,187,4,0,2026-07-18T21:00:34Z,PT55M,zNFSSdUleOE
作業用BGM 熱い,【作業用BGM／1時間】戦闘モードに入る疾走系JRPGバトルメドレー｜YutoRhythm Battle Mode Vol.2,ゆとリズム yuto-rhythm,38,2,0,2026-07-18T13:00:34Z,PT1H31S,Ai7fB6AJ1Yc
作業用BGM 熱い,【Royalty-Free BGM】The Cross-Dressing Beauty's Fiery Chanson Rock 3 / 男装の麗人の熱いシャンソンロックBGM,【著作権フリーBGM】ぷるっと企画チャンネル,50,4,0,2026-07-18T07:00:21Z,PT1M43S,LrkSeBi1Pp4
作業用BGM 熱い,B'z | 熱いロック名曲と心に響くバラードで青春を思い出す感動ベストミックス | 完全版 | ドライブや作業用BGMにもおすすめ,J-Rock Legends,7,0,1,2026-07-18T04:40:18Z,PT2H3M7S,n-Cdc6uyaIQ
作業用BGM 熱い,BREAKERZ – 熱いロックサウンドと心に響く名曲で青春を彩る感動ベストミックス – ドライブや作業用BGMにもおすすめ (完全版),平成ロック魂,2,1,1,2026-07-18T03:51:38Z,PT2H3M16S,e1TQ9NGRozI
作業用BGM 熱い,【作業用BGM】Epic Background Music 戦闘BGM/Battle Egyptian Orchestral Rock『SOLARIS』,Soothing sound Mikan,1211,76,4,2026-07-17T11:31:59Z,PT1H5M15S,MLMHlO7mZmc
作業用BGM 熱い,🥁 和楽器×EDMが熱すぎる！｜Shamisen Fusion Playlist 【作業用BGM】,Midnight Neon Music,38,7,0,2026-07-17T10:00:22Z,PT57M25S,cjh2p43ec4c
作業用BGM 熱い,【作業用BGM】夏に聴きたいメロいソングメドレー ／ GGGe Records｜勉強用・読書用・夏の夕暮れチルポップ #ボカロ,GGGe Records,66,3,0,2026-07-16T12:30:26Z,PT1H15M44S,3vqphLZn7rg
作業用BGM 熱い,🔥 54分間の熱いアニメJ-Rock｜女性ボーカルによるオリジナルオープニングソング10曲 Vol.1 🔥,Ryusei Studio | 流星スタジオ,68,0,0,2026-07-16T12:00:15Z,PT54M22S,7-u5p2v63rs
作業用BGM 熱い,熱い戦闘曲！ Heroic Battle FreeBGM / ヒロイックバトル6【作業用BGM・素材】,【著作権フリーBGM】ぷるっと企画チャンネル,33,4,0,2026-07-16T07:00:35Z,PT3M28S,0ofKf1yftAc
作業用BGM 熱い,【作業用BGM】戦闘音楽 Epic Battle Music/Rock Background Music『Sanctis』,Soothing sound Mikan,1543,76,2,2026-07-15T12:45:51Z,PT1H55S,-wb10fs8bPE
作業用BGM 熱い,手拍子が熱いブレリアス 🔥 フィエスタ気分 | Bulerias Fiesta #Shorts,Chill Shorts BGM,3,0,0,2026-07-14T10:30:03Z,PT1M53S,WyNs9zAsYjU
作業用BGM 熱い,ヒロアカ風、熱い戦闘曲！【My Hero Academia style freeBGM】heroic2 battle3 / ヒロイック2バトル3【作業用BGM・素材】,【著作権フリーBGM】ぷるっと企画チャンネル,107,5,0,2026-07-14T07:00:21Z,PT3M2S,XLuStF_p-Ro
作業用BGM 熱い,【想い出の夏とシティポップ】吐息の熱💄大人の失恋1980年代バブル】 #citypop #失恋 #作業用bgm #勉強用bgm #エモい,【Lofi Dreams】,25,2,0,2026-07-13T12:00:21Z,PT4M29S,xZa_S1T1Gfw
作業用BGM 熱い,【作業用BGM】Epic Background Music 戦闘BGM/Battle Celtic Symphonic Rock『Pulver』,Soothing sound Mikan,877,54,3,2026-07-13T11:12:42Z,PT1H7M18S,X0BtlAa4XRM
作業用BGM 熱い,【ポケモン風BGM】激熱バトル音楽｜作業用・勉強用・ゲーム作業用,ポケモン風BGM,172,2,0,2026-07-12T21:00:39Z,PT57M,5FLkWA9QkwQ
作業用BGM 熱い,【作業用BGM】Neon Glass,エレクシオン,0,0,0,2026-07-12T20:46:41Z,PT3M46S,4wtFddf6lig
